Title,Summary,Sentiment Score,Sentiment Direction
AP Week in Pictures: Global,"This photo gallery, curated by photo editor Eloy Martin, highlights some of the most compelling images worldwide made or published by The Associated Press in the past week. March 21 - 27, 2025 This photo gallery includes images from around the world.",-0.9856,Negative
No timetable from Texas governor on filling late Democratic congressman’s vacant seat,"The race to fill a Texas congressional seat has candidates but no election date more than three weeks after Rep. Sylvester Turner’s death. Turner, a former Houston mayor, died March 5 just weeks into his first term in Congress. The seat is one of four vacancies in Congress, including two in Florida.",0.962,Positive
No need to apply: Cal State is automatically admitting high school students with good grades,A pilot program focusing on Riverside County is already showing that more students have been admitted from the county than last year. The pilot builds on Cal State’s efforts to enroll more students and works like this: High school seniors receive a notice in the mail that they’re automatically admitted.,0.9975,Positive
Utah becomes first state to ban LGBTQ+ pride flags in government buildings and schools,"Utah becomes the first state to prohibit flyingLGBTQ+pride flags at schools and all government buildings. Starting May 7, state or local government buildings will be fined $500 a day for flying any flag. Political flags supporting a certain candidate or party, such as President Donald Trump’s signature “Make America Great Agai",0.993,Positive
Haitian ex-mayor found guilty of lying about rights abuses to get US residency,"Jean Morose Viliena has been living just north of Boston in the city of Malden, Massachusetts. He was indicted in 2023 on three counts of visa fraud. Authorities say he wrote on his application that he had not “ordered, carried out or materially assisted in extrajudicial and political killings.",-0.9936,Negative
"Voice of America wins in court, for now, as judge blocks Trump administration from firing staff",A federal judge on Friday halted the Trump administration’s efforts to dismantle the eight-decade-old U.S. government-funded international news service. Judge James Paul Oetken called the move a “classic case of arbitrary and capricious decision making.,-0.3041,Negative
Syrians left in the dark as the interim government struggles to restore electricity,"State electricity in Syria only comes two hours a day. Neighborhoods in most parts of the country turn pitch black once the sunsets. Save on some lights from street lamps, Mosque minarets, and drivers with floodlights on. Months after a lightning insurgencyended over half a century of the Assad dynasty’s rule in Syria.",0.9983,Positive
"Drought, wind, and debris from recent hurricanes are stoking fires across the US","In North Carolina, wildfires stoked by unusually dry air and debris from last year's Hurricane Helene are burning out of control. In Florida, there are dozens of blazes, including one that scorched about 42 square miles in Miami-Dade County. And they continue to burn in Oklahoma, where four people have died this month due to wind-driven fires.",0.2854,Positive
Canadian company seeks US permission to start deep-sea mining as outcry ensues,"An abrupt announcement rattled members of a little-known U.N. agency based in Jamaica. The Metals Company in Vancouver, Canada said it is seeking permission from the U.S. government to startdeep-sea mining. The International Seabed Authority has the power to authorize exploitation permits.",0.8767,Positive
Trump executive order on Smithsonian targets funding for programs with ‘improper ideology’,President Trump announced plans to issue an executive order aimed at the Smithsonian Institution. He plans to target funding for programs promoting what he calls “divisive narratives” and “improper ideology” as part of his broader push against liberal culture.,0.9628,Positive
US Naval Academy ends affirmative action in admissions,The change in policy was made in February by Vice Adm. Yvette Davids. It was in response to an executive order issued by President Donald Trump in January. The president’s order on Jan. 27 said that “every element of the Armed Forces should operate free from any preference based on race or sex”,0.9796,Positive
Appeals court rules Trump can fire board members of independent labor agencies,"A divided three-judge panel of the U.S. Court of Appeals for the District of Columbia Circuit agreed to lift orders blocking the Trump administration from removing Cathy Harris and Gwynne Wilcox. On March 4, U.s. District Judge Rudolph Contreras ruled that Trump illegally tried to fire Harris. Two days later, Judge Beryl Howell ruled thatTrump did not have the authority to remove Wil Cox.",0.4247,Positive
US and Lithuanian forces struggle to drain swamp to recover 4 soldiers in submerged armored vehicle,"U.S. Army, Lithuanian Army and emergency services personnel build a makeshift dam from HESCO barrier bags during recovery efforts for four soldiers. The soldiers were submerged under several meters of water in a swamp near a training area near Pabadre, Lithuania.",-0.9743,Negative
How a 1970s Chicano art group defied the mainstream and made history,"Travis Gutiérrez Senger’s latest documentary, “ASCO: Without Permission” chronicles the story of a 1970s Chicano art group named “asco.” Their name translates to “nausea” or “disgust” in Spanish. ASCO used their conceptual work and performance art to speak of issues related to the Chicano civil rights movement.",0.982,Positive
Video obtained by AP shows settler assault on small Palestinian village with rare clarity,"Over a dozen Israeli settlers attacked a Palestinian village in the southern Israeli-occupied West Bank on Friday, beating residents with sticks and rocks. The video obtained by AP and testimonies from Palestinian witnesses appeared to conflict with the account of the attack provided by Israeli police and military, who arrested over 20 Palestinians afterwards.",-0.8555,Negative
"Trump endorses budget fix that would restore Washington, DC, shortfall and urges House to pass it","President Donald Trump is pushing the House of Representatives to pass a measure that would prevent immediate financial ruin. The measure would take effect on March 31, 2025. The House is expected to vote on the measure this week. The Senate is also expected to take up the measure next week.",0.9871,Positive
Lawyer says an Iranian student targeted for ‘national security concerns’ was not a campus protestor,"An Iranian doctoral student at the University of Alabama was arrested by immigration agents. Alireza Doroudi, 32, was picked up because his visa was revoked in 2023. His lawyer said he could stay in the United States while he remained a student.",-0.9849,Negative
Will Smith channels his post-slap introspection into music on ‘Based on a True Story’,"Will Smith will release his fifth studio album “Based on a True Story” on Friday. It’s his first music project in two decades since “Lost and Found.” “It really is the result of my initial self-examination,” he said.",0.9985,Positive
Neptune’s auroras are captured in great detail by NASA’s Webb telescope,"Hints of auroras were first faintly detected in ultraviolet light during a flyby of the Voyager 2 spacecraft in 1989. Webb captured Neptune’s shimmering lights in infrared light, providing direct evidence they exist. Auroras on any planet occur when electrically charged particles from space enter and collide with molecules in the atmosphere.",0.9428,Positive
Deion Sanders’ contract at Colorado extended through the 2029 season,"Colorado State head coach Deion Sanders interviews with NFL Network’s Bucky Brooks during the Big 12 Conference’S NFL football pro day Thursday, March 20, 2025, in Frisco, Texas. Colorado State is a member of the 12-team Big 12 conference. The team is coached by Sanders.",0.994,Positive
Boys with cancer can face infertility as adults. Can storing their stem cells help?,"Researchers have performed the first known transplant of sperm-producing stem cells in hopes of restoring fertility in a man who survived childhood cancer. Jaiwen Hsu was treated at the Children’s National Hospital in Washington. His mother, Jeng Hsu, says she hopes the transplant will help other children with cancer.",0.928,Positive
Trump administration cancels clean energy grants as it prioritizes fossil fuels,"President Donald Trump’s administration is terminating grants for two clean energy projects and roughly 300 others funded by the Department of Energy. The DOE is canceling two awards to a nonprofit clean energy think tank, RMI in Colorado. One was for nearly $5.3 million to retro.",0.9992,Positive
Climate change and overfishing threaten Vietnam’s ancient tradition of making fish sauce,"Fish sauce is an indelible part of Vietnam’s culture and essential for its vibrant cuisine. In small fishing villages across Vietnam's long coast, families have made it for centuries. Climate change and overfishing threaten the anchovies crucial for fish sauce production.",0.9973,Positive
Guest lineups for the Sunday news shows,"ABC’s “This Week” — Sen. Mark Warner, D-Va.; Rep. Mike Turner, R-Ohio. CBS’ “Face the Nation’ — Warner; United Auto Workers President Shawn Fain; Rep. Jodey Arrington,. R-Texas. CNN’S “State of the Union” – Sen. James Lankford, R.-Okla.",0.8591,Positive
